trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.0387143	0.0243
0.0263	0.0377	-0.0196	-7.155849933176751e-05	-0.00017976891295541595	7.853981633974481e-05	1.14868677	65.38587952	1.1039271	0.10009336143134642	0.036754	0.01321
0.0351	0.0974	-0.0377	0.0002652900463031381	-0.00029845130209103034	0.00038571776469074686	1.11711395	63.58868408	1.0616904	0.12473544415607613	0.03552	0.00797
0.0189	0.1357	-0.0297	0.0004939281783143952	-0.0002565634000431664	0.00032812189937493397	1.11379397	63.39970398	1.06354637	0.07890609496874668	0.0361767	0.00615
-0.024	0.0732	0.0362	-0.000158824961931484	-0.00022863813201125715	-0.00034906585039886593	1.12685645	64.14324951	1.07604112	0.23919330790257945	0.0370682	0.00557
-0.0316	0.0373	0.0625	-0.0007906341511534313	-9.599310885968811e-05	-0.0006998770300497262	1.0866245	61.85315323	1.05872935	0.12556326960121883	0.0380037	0.00569
0.0059	0.1151	0.0227	-0.000460766922526503	-0.0002583087292951608	-0.00010471975511965978	1.10729647	63.02985001	1.05344208	0.20946700619962336	0.0374293	0.00564
0.0098	0.1804	0.0112	5.235987755982988e-06	-0.0001186823891356144	0.0002670353755551324	1.06323755	60.52191925	1.03460826	0.12956921905584123	0.0365032	0.00485
0.0012	0.1884	0.0302	9.948376736367679e-05	-0.000153588974175501	0.00015184364492350666	1.04798269	59.6535759	1.02931927	0.04781730476396032	0.0360354	0.00457
-0.033	0.119	0.089	-0.000593411945678072	-2.268928027592628e-05	-0.0005515240436302081	1.06095874	60.39220428	1.03935811	0.23875815477475196	0.0365566	0.00483
0.0026	0.1195	0.0572	-0.0007068583470577034	-0.00031415926535897925	-0.0003473205211468716	1.06744862	60.76161957	1.04041811	0.09835599544730105	0.0363197	0.00513
0.0122	0.1833	0.0233	-0.0002181661564992912	-0.0003054326190990077	-6.806784082777885e-05	1.03145134	58.71257019	1.01739827	0.1461335758568738	0.0361146	0.00489
-0.0013	0.1948	0.0167	0.0002844886680750757	-0.0003089232776029963	-0.0001972222054753592	1.10760736	63.04754639	1.05777837	0.06336499238629681	0.0365531	0.00482
0.0051	0.1341	-0.0164	0.0010140362954087054	-0.00043458698374658803	-0.00034906585039886593	1.34547806	76.58769226	1.23849103	0.15055274892003642	0.0403137	0.00794
0.1771	0.2614	-0.4309	0.005471607205002223	-0.001965240737745615	7.504915783575618e-05	1.70992923	97.33309174	1.52290874	1.0344169835913584	0.0406272	0.01171
0.2085	0.3468	-0.6566	0.012042771838760872	-0.00485376064979623	-0.00034033920413889426	1.61017573	91.65489197	1.38393605	0.8362536453891956	0.0370447	0.00844
0.129	0.3508	-0.5544	0.010283479952750588	-0.004756022211684548	-0.0009965830028887623	1.47260141	83.82384491	1.27576563	0.31136370614359166	0.0337436	0.00593
0.0832	0.2083	-0.3853	0.007791149780902688	-0.004436626958569585	-0.0006475171524898963	1.24274671	70.73999023	1.1353324	0.5154395637680865	0.0290892	0.00392
0.1305	0.249	-0.4753	0.009712757287348444	-0.004488986836129415	-2.4434609527920616e-05	1.07881379	61.40855026	1.02258072	0.30785249634837814	0.0285539	0.00323
0.1089	0.2694	-0.4233	0.008628907821859965	-0.003998549316319009	-0.0001605702911834783	1.04325104	59.3842392	0.99480326	0.1795211333477221	0.0282502	0.00364
0.0476	0.1706	-0.3106	0.006682865705886288	-0.003558726344816438	-0.0011746065865921838	1.11495745	63.46593094	1.04527834	0.44279506914424765	0.0274147	0.00294
0.0887	0.1898	-0.3547	0.006766641509982015	-0.0034086280291449255	-0.0006754424205218055	1.0643326	60.58424759	1.02240746	0.1410519142918809	0.0282367	0.00333
0.0963	0.237	-0.3774	0.007154104603924756	-0.0033929200658769764	-0.0003577924966588376	0.99910641	56.87142563	0.97505563	0.11354104905368288	0.0278832	0.00354
0.0784	0.2137	-0.3431	0.00696211838620538	-0.0033929200658769764	-0.0004921828490624009	1.00557113	57.23941422	0.97835288	0.09181882850614696	0.0277459	0.00304
0.0579	0.1552	-0.2895	0.005672320068981571	-0.00314857397059777	-0.000921533845053006	1.06852186	60.82271194	1.01492582	0.23077477042468103	0.0276353	0.00293
0.0973	0.2029	-0.3488	0.0064001223670632065	-0.003235840433197487	-0.00021467549799530252	1.08559895	61.79478073	1.01200489	0.22249635538695275	0.0280671	0.00336
0.1764	0.1661	-0.5966	0.01668709297831778	-0.004317944569433971	0.0017226399717184032	1.88078785	107.05875397	1.51735111	1.0290195108602382	0.028832	0.00615
0.2151	0.0544	-0.7425	0.025230479666830025	-0.005239478414486977	0.0027366762671271086	1.68139863	95.70906067	1.37380952	0.8202478414486978	0.0252414	0.00234
0.2841	0.0914	-0.8544	0.027829274923049586	-0.004909611185860049	0.0042324234360862495	1.09081614	62.0917511	1.01597007	0.43912048269028153	0.0284257	0.00388
0.2695	0.0764	-0.8881	0.030827750577975842	-0.005464625887994246	0.0038013271108436495	1.15648484	65.82976532	1.0652396	0.2625293341151526	0.0291861	0.00394
0.2227	0.0127	-0.8069	0.028754299426606577	-0.004991641660703782	0.0029024825460665696	0.99347574	56.55091476	0.96304368	0.36396399717184047	0.0270215	0.00243
0.231	0.0549	-0.7654	0.025743606466916362	-0.005300564938306779	0.0029321531433504737	1.1296351	64.30141449	1.03703405	0.25946434172885574	0.0258369	0.00267
0.2027	-0.1215	-0.7721	0.03130946145152628	-0.006782349473249965	0.002436479635784084	1.43447936	81.65385437	1.2238763	0.5885656513559747	0.0296276	0.00363
0.3321	-0.0038	-1.0093	0.03385415150093401	-0.00874759021099558	0.0033894294073729884	1.3900944	79.12735748	1.25668783	0.7574440279371125	0.0370901	0.00975
0.3471	0.0524	-1.0049	0.034498177994919915	-0.008213519459885315	0.004864232625308196	1.19241047	67.87473297	1.11998549	0.2082450231515692	0.0357901	0.0074
0.3075	0.0631	-0.9244	0.03223099529657928	-0.007173303225696694	0.003897320219703338	1.04012311	59.2061882	0.98561586	0.34451556690670565	0.0339474	0.00628
0.3114	0.054	-0.9073	0.03055373388541273	-0.006660176425610361	0.003862413634663451	0.95075673	54.11925125	0.92945356	0.14136473981463862	0.0327062	0.00538
0.3397	0.0811	-0.9992	0.03251373863540236	-0.007546803685623481	0.0031328660073298214	1.19869316	68.23236084	1.12764032	0.32610898186681925	0.0369899	0.00921
0.3422	0.1338	-1.0223	0.03325724889675195	-0.0077824231346427155	0.0029146998508305304	1.35821462	77.31269073	1.2382629	0.13816479334340545	0.0382245	0.01016
0.0836	-0.0262	-0.4391	0.02657961917862164	-0.009599310885968814	0.002097885760897184	1.84482813	105.01184082	1.59706346	1.467366577969487	0.0338432	0.00679
-0.1133	-0.2752	-0.0975	0.033557445528094976	-0.010943214410004447	0.0011850785621041497	1.84906471	105.25299835	1.51717652	1.2492268536151	0.0379324	0.00743
-0.0058	-0.2245	-0.2986	0.0386293723343905	-0.010266026660230645	0.0031503192998497648	1.66282034	94.65154266	1.41392374	0.7450177646907469	0.0404001	0.00906
0.1556	-0.0394	-0.5871	0.03515093113516579	-0.00951728041112508	0.004328416544945937	1.54563415	87.98103333	1.29882315	0.9052642346713219	0.0332935	0.00458
0.1133	-0.0785	-0.5498	0.03302337477698471	-0.008703956979695721	0.0031747539093776853	1.08052945	61.50621033	1.0222908	0.3234271212589348	0.0301932	0.00266
0.1342	-0.046	-0.5558	0.03185400417814851	-0.008520697408236317	0.003707079331235956	1.0051558	57.21577072	0.95806054	0.15364777960769369	0.0292606	0.00238
0.1146	-0.0119	-0.4999	0.029085911984485503	-0.007515387759087582	0.003420845333908886	1.09944093	62.58269501	1.02372141	0.3125817920069405	0.02824	0.00218
0.1116	-0.0529	-0.4215	0.027312657464459263	-0.008232718081657252	0.0033405601883171464	1.14377666	65.10638428	1.06987503	0.2509434994093825	0.0277618	0.00159
0.1292	-0.0723	-0.3741	0.02648013541125797	-0.008047713180945854	0.003907792195215304	1.03030229	58.64716339	0.98693388	0.16363794804054246	0.0253229	0.00082
0.1721	-0.0212	-0.4025	0.02515368517974228	-0.0074787358447957015	0.0051452306348792835	1.0063554	57.2840538	0.9575755	0.2790433003664912	0.0236464	0.00055
0.1312	-0.089	-0.3634	0.025059437400134582	-0.006606071218798537	0.004771730174952496	1.04700685	59.59802628	0.99510626	0.2148206432765824	0.0239125	0.0006
0.1661	-0.0916	-0.3695	0.02596177262341565	-0.007267551005304389	0.005527457741066041	1.02845621	58.54208374	0.98133102	0.15957712879502323	0.0237345	0.00051
0.1521	-0.0579	-0.3095	0.02370331657133499	-0.007213445798492564	0.0052778756580308525	1.08897865	61.98715973	1.00777167	0.23580716709638372	0.0218934	0.0004
0.1287	-0.1053	-0.2614	0.022142992220052057	-0.007956956059842148	0.0046198865300289904	1.04007149	59.2032547	0.97327274	0.26699118703171887	0.0202663	0.00023
0.1595	-0.0813	-0.2978	0.021746802479849343	-0.007447319918259804	0.005417501998190398	0.9303627	52.95837784	0.91416214	0.17637206749732323	0.0199591	0.00023
0.1474	-0.0537	-0.2775	0.020963149645703893	-0.007337364175384161	0.005279620987282846	0.90549105	51.54262543	0.89926761	0.11157447939643224	0.0198014	0.00025
0.1051	-0.1104	-0.1915	0.01969254995025202	-0.007473499857039719	0.004483750848373432	0.94545102	53.81723785	0.92278567	0.2951302758008424	0.0180832	0.00011
0.1122	-0.0866	-0.2117	0.018582520545983625	-0.007234389749516495	0.004324925886441949	0.97167695	55.31007767	0.93093152	0.12649822368615515	0.017552	0.0001
0.1156	-0.0487	-0.2184	0.01863662575279545	-0.006934193118173471	0.0045867252742410975	0.92560852	52.68775558	0.90692857	0.07880506129769997	0.0176504	0.00011
0.0847	-0.1152	-0.1745	0.0182212373908208	-0.0068975412038815905	0.0040613811693908045	0.92898864	52.88016129	0.91231088	0.1901692190558412	0.0168597	0.0001
0.1049	-0.1127	-0.2011	0.01780235837034216	-0.007024950239277177	0.003916518841475275	0.95459753	54.33787918	0.92821236	0.08385751918948783	0.0167812	0.00011
0.1132	-0.0716	-0.2334	0.018418459596296156	-0.006855653301833726	0.004394739056521722	0.9412986	53.58087158	0.91677341	0.1448809189221947	0.0178036	0.00012
0.0782	-0.12	-0.1794	0.017964673990777634	-0.0067980574365179135	0.003996803987067014	0.94711763	53.91210556	0.92474763	0.1828658270144521	0.0170384	0.00012
0.0953	-0.1355	-0.1652	0.016779595428673483	-0.00672824426643814	0.003921754829231259	0.96951747	55.18715668	0.93374703	0.11329704450098396	0.0162965	7e-05
0.1013	-0.0727	-0.182	0.016388641676226754	-0.006304129258203518	0.004103269071438669	0.9635008	54.84467316	0.93164603	0.13542915014443807	0.0169265	9e-05
0.0717	-0.0916	-0.1256	0.015482815794441697	-0.006126105674500097	0.0034749505407207105	0.94763076	53.9413147	0.92807934	0.19050839981032183	0.0160806	9e-05
0.0648	-0.137	-0.0952	0.014838789300455789	-0.006033603224144398	0.003010692959690218	0.95107955	54.13762665	0.93022201	0.142739326268605	0.0154063	0.0001
0.0866	-0.0822	-0.1305	0.014456562194269032	-0.005832890360165049	0.0033562681515850955	0.95213342	54.19761658	0.92673081	0.1583257581030491	0.0159779	9e-05
0.0684	-0.0832	-0.1106	0.014554300632380713	-0.00570024533701348	0.00314857397059777	0.96189427	54.75322723	0.93421429	0.061003882112528746	0.0162205	0.00011
0.0504	-0.1489	-0.046	0.013699089298903493	-0.005530948399570031	0.002694788365079245	0.97263831	55.3647995	0.94606169	0.2222146938219597	0.0154298	8e-05
0.0805	-0.1064	-0.0932	0.013295918241692803	-0.005503023131538122	0.0029862583501622975	0.97236466	55.34922409	0.93996492	0.1559283155162826	0.0160044	8e-05
0.0699	-0.0714	-0.0822	0.013030628195389665	-0.005138249317871306	0.0029565877528783943	0.94795394	53.95970917	0.9293496	0.08958672286269284	0.0165224	0.00013
0.0351	-0.1282	-0.0059	0.01236391242112783	-0.005101597403579425	0.002452187599052033	0.97840762	55.69320297	0.94947304	0.22828839211900384	0.0153488	6e-05
0.0561	-0.1388	-0.0243	0.011773991133953745	-0.0051783918906671755	0.002490584842595908	0.99047524	56.38011932	0.96320424	0.0852556508902855	0.0155918	0.0001
0.0747	-0.0743	-0.0605	0.011817624365253606	-0.004963716392671873	0.003001966313430246	0.97624075	55.56985855	0.95297773	0.15778451000647503	0.0160109	0.0001
0.0474	-0.1109	-0.0066	0.011592476891746337	-0.004972443038931845	0.0026616271092913526	0.95969796	54.62820816	0.94697047	0.14651066619530667	0.0156087	7e-05
0.0409	-0.1573	0.0141	0.01078788010657695	-0.0049183378321200205	0.002384119758224254	1.01086998	57.5410347	0.97281731	0.13041046715241547	0.0154746	3e-05
0.0673	-0.0926	-0.0441	0.010988592970556299	-0.004883431247080134	0.002895501229058593	1.01279283	57.65048981	0.97305388	0.18665004599267873	0.0161423	7e-05
0.0513	-0.1006	-0.0159	0.010948450397760427	-0.004838052686528281	0.002649409804527392	0.96091449	54.69745255	0.94803522	0.06878062789394626	0.0162803	9e-05
0.0326	-0.1628	0.0317	0.010431832939170107	-0.004714134309636684	0.0022043508452688383	0.9698621	55.20677185	0.94891418	0.18277973973702355	0.0158808	7e-05
0.0675	-0.1181	-0.0195	0.010274753306490617	-0.004686209041604775	0.0025569073541716926	0.98987746	56.34609222	0.9588467	0.15767807048071264	0.016647	6e-05
0.0558	-0.0929	-0.0022	0.009962339370383632	-0.004209734155810323	0.0024399702942880727	0.98528814	56.08485794	0.96103526	0.09949129408925286	0.0172224	6e-05
0.0116	-0.1538	0.0754	0.009225810426042026	-0.004197516851046362	0.0017121679962064373	1.03805387	59.08840561	0.99461556	0.25652742735936007	0.0169224	6e-05
0.0321	-0.1547	0.0713	0.008222246106145286	-0.004043927876870862	0.0017715091907742446	1.02502692	58.34687805	0.98755536	0.08632472443200238	0.0175943	0.00011
0.0179	-0.0954	0.0592	0.008121017009529614	-0.003771656513559746	0.001562069680534925	1.00553441	57.23731995	0.97800861	0.11474699850830535	0.0181566	0.0001
