trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.116832	0.15078
-0.1453	0.4416	0.5477	-0.03104591673447513	-0.0012374384396639797	-0.003488913174736664	2.62634444	167.16644287	2.15928288	2.9232134174437885	0.0670999	0.05961
-0.1854	0.1763	1.1491	-0.029970793915246628	-0.002253220064324679	-0.0031503192998497648	1.98705804	126.47595215	1.62855774	1.0282749159388052	0.0718837	0.0599
-0.2278	-0.0591	1.6931	-0.03392396467101378	-0.002780309498426967	-0.002336995868420407	1.6321615	103.88684082	1.40980644	1.08647918106494	0.0699099	0.0512
-0.2971	-0.133	1.6574	-0.03815464277784804	-0.003920009499979264	-0.004302236606166022	1.34810984	85.80699158	1.1992758	0.5456809423066086	0.065773	0.04517
-0.4094	-0.1705	0.8378	-0.048870964385093224	-0.007113962031128888	-0.006115633698988131	2.25961065	143.82388306	1.84036207	1.755583561560846	0.060981	0.03929
-0.4345	-0.3081	0.5507	-0.05244365336392561	-0.010278243964994606	-0.005611233545161769	1.73853958	110.65779114	1.46967909	0.8118685533262233	0.0550503	0.02824
-0.4864	-0.4105	0.9819	-0.056428240046228664	-0.0124965574442794	-0.00585732496969297	1.39101517	88.53791046	1.24380438	0.9079495793059523	0.0627367	0.03763
-0.453	-0.2501	0.8206	-0.059194586910639675	-0.012248720690496205	-0.006998770300497261	1.86066556	118.43109131	1.52267446	0.5628814474499249	0.0607807	0.03743
-0.4435	0.0942	0.5773	-0.06283534373029985	-0.0070912727508529606	-0.007148868616168773	1.72858369	110.02410126	1.41369424	1.0445151537487465	0.0371375	0.00796
-0.4298	0.367	0.6059	-0.06148794954776023	-0.005066690818539539	-0.0076393061359791795	1.22889221	78.21881104	1.11138838	0.5082206817331723	0.0320348	0.00419
-0.4168	0.6949	0.7988	-0.06070080605511079	-0.005384340742402506	-0.008176867545593434	1.2785821	81.38156128	1.12647896	0.6159177413063335	0.0283861	0.00134
-0.4247	0.8469	0.8878	-0.06145653362122434	-0.004572762640225143	-0.008548622676268226	1.03728962	66.02333069	0.97060921	0.34585303994828526	0.0263166	0.00045
-0.4178	0.9145	0.9068	-0.06199409503083859	-0.004783947479716458	-0.008709192967451705	0.83642215	53.23814774	0.862261	0.13896582701445223	0.0264292	0.00042
-0.385	0.9831	0.8724	-0.06154729074232804	-0.00488168591782814	-0.008358381787800843	0.86636895	55.14425659	0.89210906	0.1805676953136548	0.0297972	0.00085
-0.3618	1.0377	0.8064	-0.06027320038837217	-0.004401720373529699	-0.007799876427162659	0.91620988	58.31662369	0.92901851	0.25942806294462484	0.0345532	0.00176
-0.3673	1.0343	0.7869	-0.0596518631746622	-0.004113741046950634	-0.007756243195862801	0.8236891	52.4276886	0.8634489	0.07604748857944446	0.0338514	0.00154
-0.375	1.0491	0.7852	-0.05998173040328912	-0.00411548637620263	-0.007747516549602829	0.82018119	52.20441055	0.85590951	0.04121696020694436	0.0342121	0.00177
-0.4189	0.9694	0.9825	-0.06139893775590852	-0.0041381756564785556	-0.008597491895324067	1.01486993	64.59632111	0.96541783	0.4353935989308279	0.0354555	0.00239
-0.4603	0.7735	1.1318	-0.06252467512344487	-0.00419228086329038	-0.009272934315845872	1.03534842	65.89977264	0.95436367	0.4793642497434989	0.034533	0.0025
-0.4632	0.6593	1.2225	-0.0636504124909812	-0.004174827570770436	-0.009166469231474218	0.90707326	57.73508072	0.88981874	0.2702827872213967	0.0354326	0.00307
-0.4418	0.8009	0.9637	-0.06326120406778647	-0.004113741046950634	-0.008665559736151846	1.17316186	74.67157745	1.04421921	0.46936022211684514	0.032258	0.00178
-0.4224	0.9531	0.8973	-0.06315997497117079	-0.004038691889114879	-0.00838107106807677	0.97263104	61.90782166	0.91953917	0.2610383461263257	0.0318853	0.00163
-0.415	1.0195	0.89	-0.06308841647183903	-0.0038432150128915135	-0.008375835080320788	0.83911645	53.40963745	0.85762817	0.09471356816555526	0.0324311	0.00154
-0.4101	1.0662	0.8774	-0.06291562887589158	-0.003712315318991939	-0.00830776723949301	0.80364513	51.15189362	0.83879224	0.08278775653374022	0.0326886	0.00161
-0.4056	1.0973	0.8684	-0.06280043714525996	-0.0036983526849759846	-0.008253662032681184	0.80381292	51.16257477	0.84396869	0.05376297857297016	0.0330309	0.00161
-0.4045	1.1213	0.8645	-0.06305350988679914	-0.003563962332572421	-0.008229227423153265	0.8015644	51.01945496	0.84660402	0.04959488517353329	0.033282	0.0017
-0.4053	1.1493	0.8524	-0.06318091892219473	-0.0033894294073729884	-0.00803724120543389	0.80082059	50.97211075	0.84452752	0.0655964089157196	0.0330808	0.00155
-0.4093	1.1744	0.8485	-0.06326993071404645	-0.0032847096522533284	-0.008084365095237734	0.81010747	51.56322098	0.84648277	0.045042771838761535	0.0327384	0.00148
-0.4472	1.0779	1.0112	-0.06271317068266025	-0.003303908274025266	-0.009393362034233481	1.08182883	68.85824585	0.99378808	0.3913477796076944	0.0327642	0.00158
-0.4782	0.8699	1.0747	-0.06197315107981466	-0.0034243359924128747	-0.009798278420696166	1.02003074	64.92480469	0.93925451	0.36576818538479405	0.0311744	0.00112
-0.4864	0.7442	1.0683	-0.06305874587455512	-0.0036093408931242737	-0.009812241054712121	0.97256088	61.90335846	0.92382677	0.2045281164733909	0.0294896	0.00063
-0.4654	0.8902	0.8969	-0.06440264939859076	-0.0032969269570172887	-0.009107128036906413	1.13503575	72.24485779	1.01405605	0.4564715238974168	0.027489	0.00073
-0.4576	1.0542	0.7994	-0.0643572708380389	-0.0026110125609835172	-0.00865159710213589	1.03009021	65.56509399	0.9562163	0.3286411945678081	0.0257188	0.00058
-0.4505	1.1261	0.7958	-0.06434156287477096	-0.0022776546738526	-0.008564330639536174	0.84639698	53.87304306	0.86398563	0.10441661564992887	0.0271165	0.00053
-0.4502	1.1448	0.8055	-0.06350904082156966	-0.0021746802479849347	-0.008878489904895155	0.86683744	55.17407608	0.87668243	0.09118278722139696	0.0276112	0.00055
-0.4764	1.0235	1.0049	-0.06261019625679258	-0.00239459173373622	-0.009998991284675513	1.10542035	70.35984039	0.99856143	0.4588628715154361	0.0287914	0.00061
-0.4886	0.8837	1.1428	-0.06319313622695868	-0.003035127569218139	-0.010526080718777801	0.9566924	60.89332962	0.90794722	0.3774282619875158	0.0296801	0.00067
-0.5012	0.797	1.1745	-0.0644515186176466	-0.002963569069886372	-0.010648253766417403	0.91474223	58.22320938	0.89385526	0.20360569688296423	0.028907	0.0005
-0.4768	0.9699	0.9256	-0.06502398661230074	-0.0029792770331543207	-0.009955358053375656	1.16062832	73.87382507	1.0271753	0.5102535835481921	0.0259976	0.0004
-0.4717	1.0835	0.8276	-0.06525087941506	-0.0021624629432209744	-0.009262462340333906	0.93600422	59.57653046	0.90741858	0.3035301302867174	0.0256372	0.00043
-0.4664	1.1357	0.8101	-0.06511823439190843	-0.002012364627549462	-0.009140289292694306	0.82951802	52.79869843	0.85534679	0.09524581932313389	0.026217	0.00051
