trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.0911654	0.05922
-0.035	-0.1476	-0.2056	-0.0024312436480281013	0.0007347836150896127	-0.001129228026040331	1.41081691	83.47949982	1.3004249	0.6029627644579023	0.0839785	0.04851
-0.0506	-0.3773	-0.2647	-0.004616395871525002	0.0018081611050661253	-0.0019442967867216831	1.24246514	73.51795197	1.1433667	0.5080799237077382	0.0754206	0.03398
-0.0366	-0.4461	-0.2527	-0.005434955290710342	0.002234021442552742	-0.0022444934180647076	0.94089931	55.67398834	0.95205342	0.172030819400749	0.0739967	0.02993
-0.0432	-0.4899	-0.2423	-0.005864306286700947	0.0024137903555081575	-0.0025394540616517493	0.8809858	52.1288414	0.91400996	0.10600402762665312	0.073325	0.02814
-0.0603	-0.4749	-0.1784	-0.00659908990179056	0.001970476725501598	-0.0037245326237558994	0.94129634	55.69747925	0.95206436	0.2141587903600161	0.0725803	0.02711
-0.0777	-0.3237	0.026	-0.007906341511534314	0.001165879940332212	-0.004640830481052923	1.09605443	64.85467529	1.05384609	0.5244073126105081	0.0717632	0.02401
-0.1265	-0.2017	0.0989	-0.008991936306274786	0.000879645943005142	-0.005688028032249521	0.99068058	58.61959457	0.99009081	0.36465131716320703	0.070468	0.02155
-0.1718	-0.0866	0.166	-0.010691886997717262	0.00045553093477052	-0.006895795874629596	0.97058374	57.43044662	0.97230186	0.3940916771028586	0.0685073	0.01928
-0.2314	0.0389	0.1658	-0.013025392207633681	8.901179185171081e-05	-0.00841772298236865	0.97123849	57.46918869	0.9772045	0.3963975730287141	0.065466	0.01679
-0.2955	0.1714	0.102	-0.015392058673337991	-6.981317007977319e-05	-0.010197958819402868	0.96699166	57.21789932	0.95817419	0.47568636323350066	0.0624835	0.01295
-0.3875	-0.088	-0.0821	-0.016760396806901546	0.000879645943005142	-0.01241627229868766	1.16654289	69.02555084	1.08184958	0.7623055362966631	0.0569085	0.00968
-0.4564	-0.3771	-0.0969	-0.01879894137323092	0.001801179788058148	-0.014674728350768322	1.09309363	64.67948151	1.00828426	0.6337267231731522	0.0500916	0.00661
-0.4534	-0.4663	-0.0853	-0.01969604060875601	0.002389355745980237	-0.015070918090971035	0.87547046	51.80249405	0.87148204	0.1978732466824944	0.049872	0.00662
-0.4521	-0.5077	-0.0799	-0.01996656664281513	0.0026808257310632897	-0.015376350710070043	0.81410539	48.1714592	0.84386483	0.09147143191205911	0.0500478	0.00662
-0.4575	-0.5329	-0.0819	-0.02047445745514548	0.0030717794835100195	-0.01572541656046891	0.81222624	48.0602684	0.8430005	0.0949955207587973	0.0501772	0.00689
-0.4681	-0.5471	-0.0825	-0.021108011973619424	0.0031922072018976287	-0.01618443815374342	0.81636286	48.30503464	0.84997064	0.08605019150680322	0.0499485	0.00682
-0.4724	-0.5551	-0.0731	-0.021279054240314864	0.003038618227722128	-0.01653175867489029	0.81589848	48.27755737	0.84761899	0.05529758810089053	0.0497671	0.00649
-0.5076	-0.4483	0.1277	-0.01927716158827737	0.0019530234329816546	-0.017413149947147426	1.07099783	63.37205124	1.03235655	0.5412439359517554	0.0495374	0.00656
-0.4067	-0.2622	0.0612	-0.008326965861264947	0.0012147491593880533	-0.012494812115027405	1.61399198	95.50157928	1.42398683	1.1838403916363023	0.0691445	0.02106
-0.3309	-0.3533	-0.2006	-0.0045971972497530645	0.001308996938995747	-0.009536479032897015	1.6056391	95.00733185	1.4124523	0.7678174736624982	0.0706654	0.02192
-0.3408	-0.4973	-0.3364	-0.004979424355939822	0.002267182698340634	-0.00929213293761781	1.14502072	67.75205994	1.09082952	0.3689379480405425	0.0697655	0.02086
-0.1629	-0.7005	-0.7168	0.013795082407763181	0.005101597403579425	-0.003946189438759179	2.01006842	118.93783569	1.79949116	2.1092432483900208	0.104087	0.06636
-0.1208	-0.7564	-0.8007	0.0202231300428583	0.004778711491960474	-0.0022741640153486112	2.03020144	120.1291275	1.76915451	0.6030479485062317	0.10605	0.06906
-0.2254	-0.6468	-0.3304	0.008227482093901268	0.0017941984710501708	-0.005146975964131278	1.79925168	106.4635849	1.5971311	1.5771486459325	0.0877427	0.04456
-0.2158	-0.3576	-0.2004	0.013990559283986544	0.001748819910498318	-0.004872959271568168	1.47547412	87.30532837	1.30616917	0.732923622160012	0.0965779	0.05344
-0.2832	-0.0095	-0.3484	0.007653268769995135	0.0010506882097005862	-0.0072954762733362976	1.46796131	86.86079407	1.34417724	1.0363969608278636	0.0948841	0.05041
-0.4146	0.2326	-0.4699	0.0005619960191421741	0.00012217304763960306	-0.009965830028887622	1.39994144	82.83598328	1.30503895	1.0295070834232631	0.0835927	0.03538
-0.6084	0.4636	-0.5217	-0.01056971395007766	-0.0008831366015091308	-0.011772245804701754	1.48299897	87.75058746	1.36253309	1.1737717697091352	0.0701905	0.02204
-0.7948	0.3426	-0.6506	-0.010992083629060288	-0.0017051866791984597	-0.015491542440701668	1.35842967	80.37969208	1.22306587	0.6844858196335936	0.0675614	0.02088
-0.9488	0.0311	-0.7391	-0.011686724671354029	-0.0001605702911834783	-0.019933405387027238	1.24923575	73.91857147	1.14192544	0.8880560188317146	0.0538725	0.00981
-1.0161	-0.2632	-0.5765	-0.01241976295719165	0.00014486232791552936	-0.02214473754930405	1.04742122	61.97699738	0.99347357	0.6866901533606722	0.0467817	0.00561
-1.0705	-0.4791	-0.4726	-0.013669418701619588	7.67944870877505e-05	-0.023668409986295103	1.02153575	60.44533157	0.96379474	0.5162698011123384	0.0427821	0.00346
-1.1062	-0.56	-0.4226	-0.015182619163098673	0.0003385938748868999	-0.024905848425959082	0.86240792	51.02957153	0.87659809	0.31722191444711084	0.0416337	0.00293
-1.1199	-0.6047	-0.3981	-0.0159435827169682	0.0006649704450098395	-0.02565808533356864	0.82676589	48.92059326	0.85247192	0.174878851580101	0.0412185	0.00267
-1.1164	-0.6191	-0.3977	-0.016245524677563218	0.0010454522219446034	-0.026036821781251406	0.81558204	48.25883484	0.84962795	0.07135800926062719	0.0412828	0.00237
-1.1203	-0.6259	-0.3838	-0.016940165719856962	0.0012095131716320703	-0.02633701841259443	0.81440693	48.18930054	0.8477884	0.0825449311662119	0.0409229	0.00229
-1.1313	-0.5968	-0.352	-0.017420131264155404	0.0009442231253289323	-0.02714336052701581	0.85604101	50.65283203	0.87906187	0.14947988525114791	0.0397704	0.00192
-1.1133	-0.407	-0.1415	-0.014866714568487698	-0.0006649704450098395	-0.02735978135426311	1.12355256	66.48176575	1.05384152	0.637251554662689	0.0407524	0.00164
-1.1458	-0.2393	0.0012	-0.014536847339860768	-0.001265363707695889	-0.028270843223804146	0.99371588	58.79919815	0.95506877	0.4349661180427006	0.0422834	0.0017
-1.1785	-0.1143	0.1388	-0.015723671231216915	-0.00244695161129605	-0.029599038784571836	0.935458	55.35202026	0.92859326	0.4801303677862001	0.0419212	0.00139
-1.2206	-0.0896	0.0215	-0.01873087353240314	-0.0021799162357409173	-0.03076840938340803	1.08366752	64.12172699	1.0347707	0.4062804137788775	0.0398725	0.00131
-1.2687	-0.3964	-0.2491	-0.020278980578922114	-0.0009354964790689606	-0.03089058243104764	1.22032702	72.20801544	1.11763222	0.7712349925415267	0.0353272	0.00111
-1.291	-0.5168	-0.2392	-0.021142918558659306	-1.3962634015954635e-05	-0.03140196390188198	0.93192697	55.14308548	0.90346375	0.26744266478122686	0.0345106	0.00101
-1.312	-0.5551	-0.2448	-0.02104692544979962	3.490658503988659e-05	-0.03178942699582472	0.81900364	48.46129227	0.8460447	0.09151627109291356	0.0349753	0.00107
-1.3079	-0.573	-0.2543	-0.021390755312442503	0.0005323254218582705	-0.0318243335808646	0.81217974	48.05751801	0.84397404	0.07530776422505765	0.035112	0.00107
-1.3087	-0.5834	-0.2569	-0.02181661564992912	0.0008080874436733745	-0.03197617722578811	0.80217147	47.46531677	0.83793465	0.056473300211261394	0.0354105	0.00116
-1.305	-0.5701	-0.2288	-0.02108706802259549	8.726646259971648e-05	-0.03260798641501006	0.86860096	51.39601898	0.88902938	0.1492088898814618	0.0351495	0.00097
-1.3088	-0.4475	-0.0794	-0.01800307123432151	-0.0012199851471440364	-0.03323455961647602	1.0504123	62.15398026	1.00278321	0.5266910799741846	0.0352626	0.0006
-1.3359	-0.2986	0.042	-0.01839402498676824	-0.0018081611050661253	-0.034107224242473186	0.93160057	55.12377167	0.91048776	0.38998971681829936	0.0347956	0.00037
-1.3663	-0.2186	0.087	-0.019842648265923534	-0.002165953601724963	-0.035175365744693717	0.89731818	53.09524536	0.89584532	0.2991278639017331	0.0337827	0.00045
-1.3759	-0.4179	-0.1188	-0.022692770934430274	-0.0017959438003021652	-0.03511602455012591	1.11288989	65.85084534	1.04326298	0.5786736832248669	0.0304322	0.00047
-1.3683	-0.5017	-0.15	-0.022677062971162322	-0.0009808750396208131	-0.03468667355413531	0.88610554	52.43178177	0.88505567	0.18560638599699528	0.0310115	0.00049
