trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.0178728	0.00244
0.0065	0.0367	0.0765	-0.00013788101090755203	-0.0	8.552113334772214e-05	1.10447383	57.86398315	1.05082327	0.1308701072127637	0.0161194	0.00105
0.0006	0.1152	0.0984	0.00024609142453120044	-0.00012217304763960306	0.00012217304763960306	1.11804056	58.57475662	1.05983112	0.1334398698685118	0.0147209	0.00055
-0.0093	-0.0191	0.0304	0.00028623399732707005	-0.00015533430342749534	4.886921905584123e-05	1.10296726	57.78505707	1.05004435	0.21953038285837617	0.0162679	0.00079
-0.0025	-0.0447	0.0893	-6.45771823237902e-05	-0.00018151424220741024	1.7453292519943294e-06	1.07670939	56.4093895	1.03423676	0.11250575041173112	0.0158288	0.00053
-0.0008	0.0855	0.1436	6.806784082777885e-05	-0.0002600540585471551	-3.839724354387525e-05	1.09857988	57.55519867	1.03829281	0.1987663706143592	0.0139843	0.00027
-0.0081	-0.0054	0.0618	-0.00027925268031909274	-0.00012217304763960306	-0.00027576202181510406	1.11003494	58.15533829	1.04892563	0.21612831551628264	0.0154863	0.00043
-0.0044	-0.0491	0.1027	-0.0007225663103256524	1.5707963267948964e-05	-0.0002617993877991494	1.05970061	55.51829147	1.01697534	0.1180578637465033	0.0156819	0.00047
0.0038	0.0898	0.1653	-0.0007627088831215222	-2.268928027592628e-05	-0.00016231562043547262	1.10241759	57.75625992	1.04090501	0.21860117918517108	0.0137634	0.00027
-0.0046	0.0402	0.0675	-0.0011850785621041497	5.235987755982989e-05	-0.00017627825445142725	1.14107847	59.78172302	1.08919701	0.18136907354171689	0.0154892	0.00043
-0.0071	-0.0696	0.0972	-0.0012025318546240932	0.0001064650843716541	-0.0002181661564992912	1.06199408	55.63845062	1.01917104	0.14767232006898157	0.0154636	0.00035
0.0093	0.042	0.1772	-0.0013578661580515882	-8.726646259971648e-06	-0.000153588974175501	1.09338498	57.28303528	1.03255746	0.2247551608191456	0.0140929	0.00025
0.0126	0.0465	0.1272	-0.001244419756671957	-0.0001937315469713706	-0.0003159045946109737	1.11276972	58.29861069	1.04850132	0.08083834612632512	0.0144802	0.00024
0.0011	-0.0578	0.1113	-0.0013107422682477415	-8.37758040957278e-05	-0.0003438298626428829	1.06730402	55.91664124	1.01989446	0.1419101761241668	0.0153052	0.00041
0.0026	-0.0246	0.1591	-0.0016929693744344998	0.0	-0.00027925268031909274	1.038239	54.39390945	1.00227666	0.1090290046303138	0.0152997	0.00033
