trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.0266517	0.03999
0.0064	0.0453	0.051	-0.0005218534463463045	0.00023561944901923448	0.00013788101090755203	1.21779454	59.05710983	1.14400783	0.14746769531365453	0.0233165	0.02182
0.013	0.0509	0.0441	-0.0007278022980816354	0.0001361356816555577	0.0002617993877991494	1.13177729	54.8856926	1.08658549	0.04056754979953025	0.0222692	0.01366
0.0149	-0.0041	0.0479	-0.0005951572749300663	0.0002007128639793479	0.00037350045992678646	1.15244567	55.88800812	1.09016073	0.0761461638801498	0.0228314	0.01043
0.0136	-0.029	0.0705	-0.0006300638599699529	0.0002007128639793479	0.0003054326190990077	1.14101446	55.33364868	1.07461454	0.053948721293383274	0.0224347	0.00809
0.0152	-0.0369	0.0876	-0.0008115781021773631	0.00026354471705114377	0.00030194196059501896	1.12804103	54.70450211	1.06535933	0.038991837689159745	0.0220665	0.00665
0.0151	-0.0107	0.1139	-0.0013369222070276565	0.00018500490071139895	0.00023387411976724014	1.14183962	55.37366867	1.07282552	0.08619758810089084	0.0211321	0.00497
0.0209	0.0227	0.1323	-0.0017767451785302276	0.00034208453339088857	0.00020594885173533088	1.10581708	53.62675095	1.04962455	0.0888413936106985	0.0200491	0.00376
0.0215	-0.0163	0.1104	-0.0016441001553786586	0.00023212879051524583	0.00038571776469074686	1.13408887	54.9977951	1.06851475	0.08261848394913139	0.0210169	0.0038
0.0198	-0.0506	0.1133	-0.0013281955607676848	0.00021467549799530252	0.00041189770347066176	1.11741853	54.18936157	1.06028819	0.05687689129554159	0.0206417	0.0031
0.0221	-0.054	0.1145	-0.0012199851471440364	0.000312413936106985	0.0003630284844148205	1.1165694	54.14818573	1.0522892	0.01964090353955861	0.0202471	0.0031
0.0302	-0.0409	0.1405	-0.0014608405839192536	0.0005131268000863328	0.00048345620280242926	1.11875832	54.25433731	1.05485131	0.07529980095710868	0.0191187	0.00202
0.0324	-0.0243	0.1508	-0.0018343410438460403	0.0005916666164260777	0.000439822971502571	1.08213639	52.47835159	1.0434612	0.05388367537831946	0.0179287	0.00139
0.0304	-0.0448	0.1418	-0.0016667894356545846	0.0004729842272904633	0.00045553093477052	1.11348271	53.99849701	1.05594206	0.04659709802975093	0.017627	0.00111
0.0359	-0.0373	0.1591	-0.0018413223608540175	0.0004677482395344803	0.0005445427266222308	1.1098206	53.82090378	1.04731169	0.043739035240356314	0.0170287	0.00091
0.04	0.0043	0.1896	-0.0020856684561332234	0.0005061454830783556	0.00039269908169872416	1.14203823	55.38330078	1.06093417	0.09792934918732937	0.0159933	0.00075
