trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.0283813	0.0011
0.0002	0.0886	0.0158	-0.00038397243543875244	0.0002670353755551324	-0.00028623399732707005	0.96513104	57.92435455	0.9542283	0.15146209041604775	0.0286735	0.00107
-0.0014	0.1412	0.0134	-0.0008587019919812101	0.0003001966313430247	-0.00039793506945470715	0.91787314	55.08806992	0.9294789	0.08757959422289936	0.0281719	0.00098
-0.0016	0.1878	0.0222	-0.0013753194505715315	0.00030194196059501896	-0.0004729842272904633	0.90086365	54.06721115	0.92074284	0.08527059728390358	0.0275064	0.0007
-0.008	0.1962	0.0329	-0.0016807520696705393	0.00028797932657906436	-0.0006056292504420323	0.93178666	55.92311859	0.94019325	0.048102013813326586	0.0278435	0.00078
-0.0148	0.0947	0.1537	-0.002090904443889207	2.792526803190927e-05	-0.00019547687622336493	1.09890902	65.95331573	1.0350107	0.2831179403492245	0.0269523	0.00101
-0.0082	-0.0876	0.1726	0.00020769418098732522	-0.0008272860654453122	0.0013788101090755204	1.26549232	75.95116425	1.12459944	0.444204847182632	0.0304924	0.00294
0.0365	-0.1946	0.2481	-0.000895353906273091	-0.0005794493116621174	0.0024312436480281013	1.07097924	64.27705383	1.02023008	0.3473659189998096	0.0300213	0.00408
0.4183	-0.251	0.1744	0.0009337511498169664	0.0020315632493213996	0.013252285010392943	2.0012517	120.10929108	1.78221186	1.2749579489719207	0.0462854	0.03347
0.1298	0.062	0.0525	-0.000752236907609556	-0.0	0.004703662334124718	1.88067651	112.87272644	1.66152782	1.3367086991508073	0.0279632	0.00093
0.1062	0.1751	0.066	-0.0014748032179352085	7.67944870877505e-05	0.003886848244191372	1.01329052	60.81474686	0.971757	0.23100874436733748	0.0269346	0.00052
0.0949	0.2112	0.0981	-0.0018884462506578647	0.00012217304763960306	0.0032602750427254074	0.94734335	56.85678864	0.94729721	0.13377973973702367	0.0265604	0.0004
0.0837	0.0594	0.1813	-0.0008831366015091308	-0.0007853981633974483	0.003478441199224699	1.15366161	69.2394104	1.06357101	0.3527523508342538	0.0277157	0.00156
0.0955	-0.0863	0.2299	-0.0010384709049366262	-0.00011170107212763708	0.00429700061841004	1.06392777	63.8538475	0.99880438	0.2884795406941324	0.0273392	0.00214
0.1011	-0.1075	0.2211	-0.0011798425743481666	-0.00019024088846738194	0.004717624968140673	1.09095955	65.47621155	1.02905623	0.0676267917740959	0.0272752	0.00222
0.1	0.1265	0.0773	-0.0018360863730980347	0.00040840704496667313	0.004263839362622147	1.25797772	75.50016022	1.1178009	0.46433386688512246	0.0245667	0.00034
0.0959	0.2403	0.0764	-0.0020245819323134223	0.00032637657012293966	0.003677408733952052	1.00723815	60.45149612	0.95872175	0.1616478331364608	0.0250874	0.00036
0.0927	0.2782	0.0816	-0.002258456052080662	0.00042760566673861073	0.0033283428835531865	0.90011644	54.02236557	0.91864741	0.08050845333908882	0.0249973	0.00032
0.0857	0.1805	0.1702	-0.002181661564992912	0.00028797932657906436	0.0034487706019407953	1.05486476	63.30990601	1.00113961	0.21014242728174523	0.0242522	0.00042
0.0961	-0.0033	0.214	-0.002806489437206882	0.0006056292504420323	0.003944444109507185	1.04414046	62.66627121	0.9760057	0.3099075651821664	0.0230462	0.00043
0.1052	-0.0951	0.2263	-0.0033597588100890844	0.0008168140899333463	0.004356341812977846	0.98977655	59.40350342	0.96368404	0.17201759579220893	0.0225177	0.00052
0.1088	0.0901	0.0951	-0.0040561451816348215	0.000853466004225227	0.003974114706791089	1.21797717	73.09944153	1.09573732	0.37576326960121864	0.0198203	0.00014
0.0996	0.2162	0.098	-0.004003785304074992	0.0009459684545809266	0.0034103733583969193	1.03963518	62.39587402	0.98259577	0.17363018381548492	0.0208848	0.0001
0.0914	0.1555	0.188	-0.0046530477858168825	0.0012932889757277981	0.0033807027611130165	1.00719249	60.44876099	0.97443272	0.21021268000863325	0.0199997	0.00015
0.0984	0.0023	0.2647	-0.0059306287982767315	0.0016650441064025902	0.003771656513559746	1.00788021	60.4900322	0.95977037	0.33891449477906854	0.018179	0.00016
0.1051	-0.0817	0.2977	-0.006759660192974038	0.0019879300180215415	0.0041381756564785556	0.95705831	57.43984985	0.93731694	0.19962182246175336	0.0176576	0.00012
0.1094	0.1026	0.1325	-0.006869615935849681	0.0018064157758141308	0.003607595563872279	1.18677115	71.22654724	1.0674612	0.39490250388446646	0.0162917	7e-05
0.1012	0.2223	0.1295	-0.006541494036474748	0.001780235837034216	0.0031014500807939236	0.99976623	60.00305557	0.95328092	0.17392236606166017	0.0174108	6e-05
0.0986	0.2482	0.1433	-0.006501351463678877	0.0016598081186466073	0.002874557278034661	0.89357626	53.62984467	0.90743747	0.06167315469713711	0.018035	9e-05
0.0965	0.1215	0.2855	-0.007546803685623481	0.0017645278737662671	0.0030944687637859463	1.03222024	61.95085144	0.98357766	0.3395041731407774	0.017133	6e-05
0.1073	-0.0646	0.2923	-0.008443902921148567	0.002197369528260861	0.0035203291012725624	1.05389655	63.25180054	0.98231774	0.29149006137531475	0.0160128	5e-05
0.1159	-0.1491	0.2576	-0.008936085770210968	0.0023492131731843676	0.0037943457938356727	0.96455884	57.89001083	0.94627947	0.17370215932745092	0.0157046	5e-05
0.114	0.0744	0.1426	-0.008119271680277622	0.002267182698340634	0.0035081117965086025	1.09666967	65.81891632	1.00611281	0.3996539281052075	0.0152709	7e-05
0.1074	0.2016	0.1461	-0.00766723140401109	0.0020629791758572974	0.0030560715202420713	1.00967371	60.59767532	0.95251924	0.19271420375082	0.016266	7e-05
0.101	0.2386	0.173	-0.007630579489719209	0.0018971728969178364	0.0027454029133870805	0.90891373	54.550354	0.90981309	0.09595634000431665	0.0167373	0.0001
0.104	0.1097	0.3118	-0.00901462558655071	0.0019757127132575807	0.003010692959690218	1.03144765	61.90447998	0.97149237	0.3570937979737192	0.015909	9e-05
0.1072	-0.0592	0.3595	-0.009491100472345164	0.0020804324683772408	0.003298672286269283	0.98325384	59.01203156	0.9380505	0.2632586983746589	0.0157171	3e-05
0.1116	-0.0819	0.3163	-0.009728465250616393	0.0022427480888127134	0.003419100004656891	1.01951313	61.18820953	0.96640574	0.09630540585471543	0.0159661	4e-05
0.1133	0.1429	0.1682	-0.009250245035569947	0.0021135937241651332	0.0032306044454415038	1.16694093	70.03639221	1.04025715	0.4143935069454706	0.0140973	7e-05
0.1055	0.2432	0.165	-0.008597491895324067	0.002064724505109292	0.0028675759610266834	0.95175821	57.12175369	0.92534255	0.16453254218582702	0.0154829	8e-05
0.0991	0.1808	0.2751	-0.008850564636863244	0.002165953601724963	0.0029146998508305304	0.99553716	59.74924088	0.96387221	0.1989712863979348	0.0157967	9e-05
0.1038	-0.004	0.3801	-0.010229374745938765	0.002398082392240209	0.00342259066316088	1.03447855	62.08638763	0.9645413	0.40044148559605586	0.0156758	7e-05
0.1109	-0.1035	0.3557	-0.010276498635742612	0.0024312436480281013	0.0036145768808802567	0.94881052	56.94484329	0.92048465	0.14461356816555573	0.0157105	7e-05
0.1173	0.0896	0.1664	-0.010026916552707424	0.0022235494670407763	0.003420845333908886	1.16295731	69.79730988	1.04334159	0.42135039054969414	0.0142306	2e-05
0.1079	0.2137	0.1581	-0.00936543676620157	0.002139773662945048	0.003033382239966145	1.00842381	60.5226593	0.95376501	0.1984359342272161	0.0146755	6e-05
0.1073	0.2445	0.1695	-0.00927118898659388	0.002078687139125246	0.002841396022246768	0.87822223	52.70833969	0.88889852	0.0601660260573435	0.0149968	9e-05
0.1067	0.1229	0.3023	-0.010475466170469966	0.002005383310541485	0.003033382239966145	0.9899866	59.41611099	0.95146876	0.3284783615089612	0.0143046	4e-05
0.1109	-0.0514	0.3359	-0.011410962649538926	0.002237512101056731	0.0033231068957972035	1.00248313	60.16611862	0.94545247	0.2849674962707632	0.0141641	4e-05
0.1153	-0.1897	0.2548	-0.012709487613022707	0.0027052603405912107	0.0035849062835963527	1.04303455	62.59989166	0.97903353	0.32520362954087045	0.0154427	4e-05
0.1174	-0.218	0.177	-0.014433872913993106	0.00326551103048139	0.00386590429316744	1.01262665	60.77490234	0.96166224	0.23648170002158325	0.017074	0.00016
0.1158	0.0442	0.1472	-0.012590805223887095	0.002694788365079245	0.0034103733583969193	1.1022476	66.15368652	1.00895626	0.43706606451393376	0.0133396	1e-05
0.1068	0.1856	0.1736	-0.011655308744818132	0.0025865779514555962	0.002958333082130389	0.9973684	59.85914612	0.94079324	0.2515873584479571	0.0129716	4e-05
0.1026	0.2037	0.2294	-0.010937978422248463	0.002565634000431664	0.002848377339254746	0.93362743	56.03359604	0.92251936	0.12051150082346224	0.0141009	5e-05
0.1072	0.0236	0.3475	-0.010929251775988491	0.0025761059759436306	0.0033911747366249826	1.0518558	63.12932205	0.97889727	0.3308998009571087	0.0142753	7e-05
0.1136	-0.1483	0.409	-0.011349876125719123	0.0027244589623631483	0.003639011490408177	0.97356892	58.43077087	0.92792345	0.2806407044966672	0.0158648	3e-05
