bids_name	aor	aqi	dummy_trs	dvars_nstd	dvars_std	dvars_vstd	efc	fber	fd_mean	fd_num	fd_perc	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	gcor	gsr_x	gsr_y	size_t	size_x	size_y	size_z	snr	spacing_tr	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_fg_k	summary_fg_mad	summary_fg_mean	summary_fg_median	summary_fg_n	summary_fg_p05	summary_fg_p95	summary_fg_stdv	tsnr
sub-CMH0002_ses-02_task-emp_run-1_bold	0.0003768613138686131	0.01143708700729927	9	59.013455820409426	1.066798029239767	0.9949161854532158	0.4831	1334.2391	0.17725476660850928	242	35.32846715328467	2.7314166666666666	2.961695	2.589705	2.64285	0.00213792	0.03903699293732643	0.014729834161698818	685	110	110	72	1.987100788263313	0.800000011920929	2.0	2.0	2.0	62.0519	38.4265	86.0889	26.0	695269.0	0.0	379.0	177.3384	4.2556	373.5312	1035.7465	966.0	175931.0	327.0	1909.0	486.134	23.846120326546952
sub-CMH0002_ses-02_task-emp_run-2_bold	0.0008553733528550512	0.014371269355783306	11	55.248075474076195	1.075417478885631	1.009564461554252	0.4911	1357.2784	0.17514738168644817	220	32.210834553440705	2.5774733333333337	2.74114	2.533615	2.457665	0.008471	0.031268343329429626	0.020258061587810516	683	110	110	72	2.3796178266657595	0.800000011920929	2.0	2.0	2.0	31.6681	39.8631	89.6498	27.0	701964.0	0.0	388.0	184.9347	2.6804	330.4011	1045.2521	994.0	169236.0	427.0	1793.0	417.7129	24.552409000345506
sub-CMH0002_ses-02_task-rest_run-1_bold	0.0006893571428571428	0.011721039124999999	9	60.18633102397137	1.0693573575491948	0.9978638833989273	0.481	1393.5573	0.1971895003164423	269	48.035714285714285	2.7159633333333333	2.93692	2.57586	2.63511	0.00340792	0.037519000470638275	0.01365693099796772	560	110	110	72	2.028468256026445	0.800000011920929	2.0	2.0	2.0	55.6064	41.3487	93.0573	28.0	699180.0	0.0	417.0	192.1374	4.4254	400.0246	1127.5983	1053.0	172020.0	385.0	2058.0	519.1094	23.74635303253308
sub-CMH0002_ses-02_task-rest_run-2_bold	0.0007051428571428572	0.012944218303571429	9	55.73823898121644	1.0638988214490173	1.000491263488372	0.4865	1413.4432	0.19736043639440878	252	45.0	2.562405	2.731145	2.524345	2.431725	0.00220637	0.029690586030483246	0.016762489452958107	560	110	110	72	2.360240920895298	0.800000011920929	2.0	2.0	2.0	28.8485	42.744	98.178	29.0	706693.0	0.0	437.0	205.2402	2.9195	356.2614	1145.1117	1081.0	164507.0	487.0	1975.0	458.0027	25.740233393153176
sub-CMH0003_ses-01_task-emp_run-1_bold	0.0028276308139534886	0.04955308706395349	6	81.18864736305679	1.054213029126637	0.9841066514992732	0.4843	1556.8458	0.7503441551615153	597	86.77325581395348	2.6225150000000004	2.75628	2.511585	2.59968	0.0109966	0.013000819832086563	0.04071420803666115	688	110	110	72	2.60863940374745	0.800000011920929	2.0	2.0	2.0	48.3189	35.4467	73.0261	24.0	702726.0	0.0	304.0	147.9501	2.8637	265.4935	981.2069	954.0	168474.0	372.0	1611.0	365.7068	14.41070488927653
sub-CMH0003_ses-01_task-emp_run-2_bold	0.002759622093023256	0.04600706119186047	6	67.63512256825331	1.0220899712663747	0.9794869912663751	0.4875	1714.4725	0.5263619681930402	511	74.27325581395348	2.6797	2.802745	2.614775	2.62158	0.00456348	0.014095732942223549	0.04514268785715103	688	110	110	72	2.5818350412656477	0.800000011920929	2.0	2.0	2.0	54.1476	33.9899	73.0803	23.0	697804.0	0.0	310.0	151.7742	2.8204	263.2686	965.3946	941.0	173396.0	334.0	1579.0	364.4684	15.375765951699577
sub-CMH0003_ses-01_task-rest_run-1_bold	0.003892930728241563	0.02209308188277087	6	71.83734979322057	1.1286334019750885	1.0257298756049824	0.4575	2101.1868	0.4264555288781835	408	72.46891651865009	2.707151666666667	2.938485	2.49139	2.69158	0.00489317	0.014477386139333248	0.029426656663417816	563	110	110	72	2.063924151183512	0.800000011920929	2.0	2.0	2.0	67.1404	32.5698	70.8505	22.0	710159.0	0.0	306.0	142.0464	5.4467	326.0804	1050.672	998.0	161041.0	297.0	1899.0	483.5434	19.72323796839919
sub-CMH0003_ses-01_task-rest_run-2_bold	0.0036221847246891647	0.027208913499111902	6	63.59750677090745	1.0748080702669036	1.0216687512277591	0.486	1818.7578	0.43427805750236387	400	71.04795737122558	2.61547	2.772105	2.51602	2.558285	0.00441663	0.012643692083656788	0.040586650371551514	563	110	110	72	2.531806984703499	0.800000011920929	2.0	2.0	2.0	59.4993	34.0287	73.8402	23.0	697670.0	0.0	318.0	151.0559	2.5949	287.1521	988.5027	965.0	173530.0	340.0	1632.0	381.1496	18.688096711528488
sub-CMH0003_ses-02_task-emp_run-1_bold	0.003328515283842795	0.032874222852983984	7	84.2136191377551	1.0882322529591837	0.9880346146355687	0.4673	1548.4	0.6032521727402664	559	81.36826783114992	2.699003333333333	2.90299	2.48699	2.70703	0.0099321	0.015404772944748402	0.03529560565948486	687	110	110	72	2.0226423144882277	0.800000011920929	2.0	2.0	2.0	48.3301	38.5153	79.4824	26.0	708831.0	0.0	331.0	147.3101	5.2613	347.3692	1091.1122	1027.0	162369.0	318.0	1993.0	507.7501	15.394388847635128
sub-CMH0003_ses-02_task-emp_run-2_bold	0.004080800582241631	0.03450554788937409	7	76.7205250408309	1.0747201695043718	1.006662664358601	0.4905	1496.9309	0.5765237940603396	580	84.4250363901019	2.5046983333333332	2.6159	2.43414	2.464055	0.0121895	0.014034688472747803	0.044155243784189224	687	110	110	72	2.5732676269934722	0.800000011920929	2.0	2.0	2.0	60.969	38.5002	82.1078	26.0	701825.0	0.0	344.0	162.0181	3.2582	300.9402	1038.567	1009.0	169375.0	409.0	1712.0	392.1073	16.17442337376997
sub-CMH0003_ses-02_task-rest_run-1_bold	0.004675124555160142	0.02105896441281139	7	66.14540526420674	1.1021095754901955	1.027390537807488	0.4634	1837.793	0.3507624249316395	378	67.25978647686833	2.60079	2.79354	2.40996	2.59887	0.00760238	0.01429781410843134	0.03201361000537872	562	110	110	72	2.0624062623108554	0.800000011920929	2.0	2.0	2.0	51.9871	37.0334	78.542	25.0	710659.0	0.0	335.0	148.673	4.9706	355.3444	1114.9541	1052.0	160541.0	342.0	2025.0	510.0822	19.140101052587852
sub-CMH0003_ses-02_task-rest_run-2_bold	0.005144099821746881	0.024360732442067733	8	63.317679997839214	1.081557258071428	1.0294374518392868	0.4869	1760.3864	0.33988883813361886	349	62.21033868092692	2.465315	2.60966	2.407515	2.37877	0.00566537	0.014651103876531124	0.04179320111870766	561	110	110	72	2.4937291210043715	0.800000011920929	2.0	2.0	2.0	64.4298	35.556	79.7986	24.0	699393.0	0.0	339.0	158.1892	3.2214	308.6138	1047.7046	1022.0	171807.0	366.0	1740.0	409.8268	19.1760212542722
