bids_name	cjv	cnr	efc	fber	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	icvs_csf	icvs_gm	icvs_wm	inu_med	inu_range	qi_1	qi_2	rpve_csf	rpve_gm	rpve_wm	size_x	size_y	size_z	snr_csf	snr_gm	snr_total	snr_wm	snrd_csf	snrd_gm	snrd_total	snrd_wm	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_csf_k	summary_csf_mad	summary_csf_mean	summary_csf_median	summary_csf_n	summary_csf_p05	summary_csf_p95	summary_csf_stdv	summary_gm_k	summary_gm_mad	summary_gm_mean	summary_gm_median	summary_gm_n	summary_gm_p05	summary_gm_p95	summary_gm_stdv	summary_wm_k	summary_wm_mad	summary_wm_mean	summary_wm_median	summary_wm_n	summary_wm_p05	summary_wm_p95	summary_wm_stdv	tpm_overlap_csf	tpm_overlap_gm	tpm_overlap_wm	wm2max
sub-CMH0001_ses-01_run-1_T1w	0.5653991124260355	1.6440422676204975	0.446	3347.5953	3.7687666666666666	3.75822	3.9066	3.64148	0.27459492056886337	0.3766226216732292	0.34878245775790745	0.9905096292495728	0.6683037340641022	0.0	0.001255497699431721	7.582855930686963	7.494454574023478	7.6246066488295625	208	256	256	1.660707715006267	3.5884692322151803	4.555092688004878	8.416101116793188	17.086159989208145	30.097172624668374	31.29189453962258	46.692351004991224	1.0	1.0	1.0	95.5387	13.3434	13.1013	9.0	4555215.0	0.0	37.0	17.833	-0.8641	175.7964	355.5612	348.0	484641.9114845563	55.0	693.0	209.549	-0.1653	109.8292	621.5166	613.0	664714.0700851537	344.0	938.0	170.8248	0.2654	81.2757	932.3858	951.0	615578.0182309782	714.0	1091.0	112.9976	0.21854438875096197	0.5336843459552256	0.538447062676967	0.35982219922239356
sub-CMH0001_ses-02_run-1_T1w	0.5778984567901235	1.5435195199211733	0.4477	4023.9459	3.7571333333333334	3.74635	3.90044	3.62461	0.27177137486783237	0.37620716364852885	0.35202146148363883	1.0052931308746338	0.6142821907997132	0.0	0.0020081772507481574	7.587979280919973	7.491810464333804	7.621953290636307	208	256	256	1.688688635030211	3.5678018136105756	4.462214183340963	8.130152101382103	19.774284297855118	34.02502549575071	35.240204977741804	51.92130513961959	1.0	1.0	1.0	1225.7332	11.8608	11.4477	8.0	4480756.0	0.0	33.0	29.7424	-0.7689	179.9434	364.1802	358.0	479202.23556782544	59.0	704.0	211.9986	0.225	106.1416	625.9684	616.0	663349.1623048198	345.0	942.0	172.6552	0.4964	81.0975	922.7403	940.0	620703.6020362696	701.0	1088.0	115.6189	0.22265028149661673	0.5357630383104713	0.5388591615426438	0.3681514453186677
sub-CMH0002_ses-01_run-1_T1w	0.6596422297297297	1.2373315560301097	0.4534	2261.5309	3.625383333333333	3.59316	3.75526	3.52773	0.270967934536101	0.3699829943043869	0.35904907115951207	1.053375244140625	0.7215789675712585	0.0	0.002401494057755951	8.306646927613825	8.176027376067198	8.291548523821172	208	256	256	1.4396051976398023	3.339225530719832	4.004400464633542	7.234370665540993	11.231204303251046	23.75123532982598	23.211155560052163	34.65102704707945	1.0	1.0	1.0	380.6679	17.7912	15.8348	12.0	4381227.0	0.0	41.0	54.764	-0.8445	176.6149	333.6356	305.0	438004.2209566955	49.0	690.0	211.8634	4.7824	100.3809	652.1583	645.0	598056.421195948	322.0	989.0	193.1584	0.026	94.8732	917.2088	941.0	580382.3576678399	673.0	1100.0	130.0734	0.22758764080604127	0.5371666396721647	0.548377227271978	0.23888824907378411
sub-CMH0002_ses-02_run-1_T1w	0.6849321070234113	1.221792407974758	0.4581	2491.1294	3.6410299999999993	3.60492	3.74959	3.56858	0.270302441241616	0.36804167598169063	0.3616558827766933	1.0395958423614502	0.7108739614486694	0.0	0.0008620350191938016	8.23663087862603	8.10272178152742	8.219678221249923	208	256	256	1.43148824097356	3.1369782297042885	3.8713411837447924	7.045557080556528	11.850510650822265	25.749753651447705	25.12040449824019	37.76094919245061	1.0	1.0	1.0	601.5504	16.3086	13.01	11.0	4439141.0	0.0	40.0	18.3151	-0.9035	173.4818	324.5414	295.0	440577.0313757713	48.0	676.0	206.079	5.5252	104.629	648.4366	641.0	599886.2173857861	293.0	998.0	204.3366	0.082	100.1657	920.067	940.0	589477.7512235348	673.0	1114.0	133.4173	0.22530608962915127	0.5356844553790048	0.5478459288539144	0.2487276467451676
sub-CMH0003_ses-01_run-1_T1w	0.7490332103321033	1.0995049200695648	0.4547	879.8543	3.6236266666666666	3.56059	3.77197	3.53832	0.2690887720464795	0.3621948406193566	0.36871638733416384	1.0200293064117432	0.6299122929573058	0.0	0.001522579208041869	9.348432571583578	9.206905848622949	9.318208282009259	208	256	256	1.4056900850088088	3.2505960915627097	4.029588489544356	7.43247929206155	11.231204303251046	25.04006205314987	23.763509870048114	35.019263253743425	1.0	1.0	1.0	435.1971	17.7912	18.0695	12.0	4915790.0	0.0	67.0	24.8329	-0.7952	185.2643	342.2554	305.0	387247.53539839864	62.0	718.0	216.975	1.9624	100.911	682.2494	680.0	521237.13039812306	309.0	1030.0	209.1922	-0.0691	102.077	934.8419	951.0	530622.3339244092	704.0	1126.0	127.9518	0.22069557756060468	0.5275272326329531	0.5440291053674575	0.26065426201662856
sub-CMH0003_ses-02_run-1_T1w	0.7771556818181818	1.0223530448623739	0.472	747.3715	3.6184	3.52522	3.75744	3.57254	0.27095236871720263	0.3594806377547683	0.3695669935280291	1.0480494499206543	0.6265817582607272	0.0	0.0020190622145919795	9.209700933106042	9.061458288156466	9.175989045267379	208	256	256	1.558905236063461	3.107267640483813	3.919143194605619	7.091256707269585	12.53342143408999	27.195917663073473	25.84348650405308	37.80112041499577	1.0	1.0	1.0	7.8864	16.3086	27.0862	11.0	4552991.0	0.0	114.0	40.034	-0.8032	169.8814	346.1876	312.0	395664.97022483824	81.0	697.0	200.1402	4.6762	98.4232	679.611	677.0	524940.5882924688	285.0	1037.0	217.8761	0.0355	106.7459	929.9941	941.0	539669.4414691303	696.0	1137.0	132.6985	0.21496502811907264	0.5227300305898723	0.5395435505192266	0.2577451088300644
